Year,Cities,Fish Consumption
2020,AGAM,0.84
2020,LIMA PULUH KOTA,0.752
2020,PASAMAN,0.785
2020,SOLOK SELATAN,0.671
2020,DHARMASRAYA,0.717
2020,PASAMAN BARAT,0.743
2020,PADANG,0.525
2020,SOLOK,0.745
2020,SAWAH LUNTO,0.643
2020,PADANG PANJANG,0.562
2020,BUKITTINGGI,0.683
2020,PAYAKUMBUH,0.627
2020,PARIAMAN,0.571
2020,KUANTAN SINGINGI,0.912
2020,INDRAGIRI HULU,0.864
2020,INDRAGIRI HILIR,1.021
2020,PELALAWAN,1.081
2020,SIAK,1.237
2020,KAMPAR,0.869
2020,ROKAN HULU,0.984
2020,BENGKALIS,1.044
2020,ROKAN HILIR,1.273
2020,KEPULAUAN MERANTI,1.043
2020,PEKANBARU,0.837
2020,DUMAI,0.901
2020,KERINCI,0.901
2020,MERANGIN,0.694
2020,SAROLANGUN,0.659
2020,BATANG HARI,0.697
2020,MUARO JAMBI,0.716
2020,TANJUNG JABUNG TIMUR,0.902
2020,TANJUNG JABUNG BARAT,0.83
2020,TEBO,0.729
2020,BUNGO,0.758
2020,JAMBI,0.703
2020,SUNGAI PENUH,0.798
2020,OGAN KOMERING ULU,0.768
2020,OGAN KOMERING ILIR,0.81
2020,MUARA ENIM,0.804
2020,LAHAT,0.834
2020,MUSI RAWAS,0.632
2020,MUSI BANYUASIN,0.877
2020,BANYU ASIN,0.882
2020,OGAN KOMERING ULU SELATAN,0.672
2020,OGAN KOMERING ULU TIMUR,0.827
2020,OGAN ILIR,0.71
2020,EMPAT LAWANG,0.597
2020,PENUKAL ABAB LEMATANG ILIR,0.867
2020,MUSI RAWAS UTARA,0.707
2020,PALEMBANG,0.715
2020,PRABUMULIH,0.727
2020,PAGAR ALAM,0.482
2020,LUBUKLINGGAU,0.718
2020,BENGKULU SELATAN,0.713
2020,REJANG LEBONG,0.58
2020,BENGKULU UTARA,0.7
2020,KAUR,0.591
2020,SELUMA,0.596
2020,MUKOMUKO,0.855
2020,LEBONG,0.841
2020,KEPAHIANG,0.654
2020,BENGKULU TENGAH,0.631
2020,BENGKULU,0.723
2020,LAMPUNG BARAT,0.697
2020,TANGGAMUS,0.574
2020,LAMPUNG SELATAN,0.629
2020,LAMPUNG TIMUR,0.666
2020,LAMPUNG TENGAH,0.723
2020,LAMPUNG UTARA,0.632
2020,WAY KANAN,0.655
2020,TULANGBAWANG,0.752
2020,PESAWARAN,0.65
2020,PRINGSEWU,0.487
2020,MESUJI,0.628
2020,TULANG BAWANG BARAT,0.589
2020,PESISIR BARAT,0.633
2020,BANDAR LAMPUNG,0.631
2020,METRO,0.679
2020,BANGKA,0.812
2020,BELITUNG,0.945
2020,BANGKA BARAT,0.866
2020,BANGKA TENGAH,0.779
2020,BANGKA SELATAN,0.856
2020,BELITUNG TIMUR,1.069
2020,PANGKAL PINANG,0.765
2020,KARIMUN,0.964
2020,BINTAN,0.992
2020,NATUNA,1.038
2020,LINGGA,1.279
2020,KEPULAUAN ANAMBAS,1.1
2020,BATAM,0.887
2020,TANJUNG PINANG,0.806
2020,KEPULAUAN SERIBU,0.949
2020,JAKARTA SELATAN,0.656
2020,JAKARTA TIMUR,0.67
2020,JAKARTA PUSAT,0.639
2020,JAKARTA BARAT,0.65
2020,JAKARTA UTARA,0.692
2020,BOGOR,0.839
2020,SUKABUMI,1.038
2020,CIANJUR,0.919
2020,BANDUNG,0.708
2020,GARUT,0.646
2020,TASIKMALAYA,0.58
2020,CIAMIS,0.603
2020,KUNINGAN,0.522
2020,CIREBON,0.461
2020,MAJALENGKA,0.363
2020,SUMEDANG,0.723
2020,INDRAMAYU,0.64
2020,SUBANG,0.659
2020,PURWAKARTA,0.928
2020,KARAWANG,0.654
2020,BEKASI,0.562
2020,BANDUNG BARAT,0.829
2020,PANGANDARAN,0.598
2020,BOGOR,0.796
2020,SUKABUMI,0.89
2020,BANDUNG,0.561
2020,CIREBON,0.388
2020,BEKASI,0.821
2020,DEPOK,0.746
2020,CIMAHI,0.544
2020,TASIKMALAYA,0.446
2020,BANJAR,0.472
2020,CILACAP,0.372
2020,BANYUMAS,0.521
2020,PURBALINGGA,0.347
2020,BANJARNEGARA,1.089
2020,KEBUMEN,0.404
2020,PURWOREJO,0.492
2020,WONOSOBO,0.725
2020,MAGELANG,0.521
2020,BOYOLALI,0.551
2020,KLATEN,0.421
2020,SUKOHARJO,0.472
2020,WONOGIRI,0.446
2020,KARANGANYAR,0.659
2020,SRAGEN,0.913
2020,GROBOGAN,0.521
2020,BLORA,0.802
