District,Consumption,Level,AKI,Expenditure per Capita,Fish Expenditure,Percentage
TABALONG,0.886,Sedang,61.23,11283,18626,8.58
TANAH BUMBU,0.765,Rendah,61.23,11718,14512,6.44
BALANGAN,0.687,Rendah,61.23,11452,13971,6.34
BANJARMASIN,0.629,Rendah,61.23,14306,14810,5.38
BANJAR BARU,0.678,Rendah,61.23,13675,17301,6.58
PASER,0.922,Sedang,55.39,10344,19796,9.95
KUTAI BARAT,0.888,Sedang,55.39,9712,21717,11.63
KUTAI KARTANEGARA,0.717,Rendah,55.39,10720,18150,8.80
KUTAI TIMUR,0.895,Sedang,55.39,10485,25594,12.69
BERAU,1.051,Sedang,55.39,12018,23364,10.11
PENAJAM PASER UTARA,0.802,Sedang,55.39,11231,16626,7.70
MAHAKAM ULU,0.697,Rendah,55.39,7524,26709,18.46
BALIKPAPAN,0.654,Rendah,55.39,14549,17847,6.38
SAMARINDA,0.695,Rendah,55.39,14135,18641,6.86
BONTANG,0.681,Rendah,55.39,16278,20240,6.47
MALINAU,0.78,Rendah,73,9611,21811,11.80
BULUNGAN,0.976,Sedang,73,9121,21115,12.04
TANA TIDUNG,1.223,Sedang,73,7381,24864,17.52
NUNUKAN,1.007,Sedang,73,6804,20527,15.69
TARAKAN,1.016,Sedang,73,10894,24334,11.62
BOLAANG MONGONDOW,1.178,Sedang,66.82,10128,12029,6.18
MINAHASA,1.076,Sedang,66.82,12395,13221,5.55
KEPULAUAN SANGIHE,0.994,Sedang,66.82,11427,15909,7.24
KEPULAUAN TALAUD,0.76,Rendah,66.82,8505,13996,8.56
MINAHASA SELATAN,0.99,Sedang,66.82,11481,13644,6.18
MINAHASA UTARA,1.084,Sedang,66.82,11405,18949,8.64
BOLAANG MONGONDOW UTARA,0.753,Rendah,66.82,9062,11828,6.79
SIAU TAGULANDANG BIARO,0.803,Sedang,66.82,8080,14091,9.07
MINAHASA TENGGARA,0.914,Sedang,66.82,10408,15230,7.61
BOLAANG MONGONDOW SELATAN,0.824,Sedang,66.82,8837,11086,6.52
BOLAANG MONGONDOW TIMUR,1.013,Sedang,66.82,8998,14407,8.33
MANADO,0.654,Rendah,66.82,13886,15439,5.78
BITUNG,0.913,Sedang,66.82,12193,13731,5.86
